,price,floor,bedroomCount,netHabitableSurface,bathroomCount,condition
373,129000,0,0,34,1,5
374,165000,3,2,85,1,5
378,159000,1,1,45,1,0
379,259000,3,2,186,2,4
381,447500,4,2,145,1,4
382,145000,2,2,81,1,4
383,119000,1,2,60,1,4
386,149000,1,1,40,1,4
387,305000,1,2,80,1,4
388,229000,3,2,60,1,4
389,199000,2,2,73,1,3
390,249000,4,2,100,1,4
391,179000,2,1,63,1,4
394,835000,0,3,234,3,4
395,1537000,7,2,160,2,5
396,1410000,6,3,184,2,5
397,339000,1,3,115,1,5
398,395000,0,0,48,1,5
399,935000,0,3,206,3,3
400,350000,3,2,95,1,4
401,199000,6,0,48,1,4
402,795000,4,4,220,3,4
403,220000,2,1,50,1,4
406,190000,6,1,80,1,4
407,238000,1,2,80,1,5
408,249000,14,2,87,1,4
409,258000,1,2,87,1,5
410,279000,2,3,88,1,5
411,815000,2,3,158,2,5
412,815000,2,3,158,2,5
413,175000,0,2,75,1,4
414,815000,2,3,158,2,5
415,209000,8,2,76,1,0
417,460000,1,2,136,1,0
419,275000,0,3,177,1,5
421,745000,1,2,198,2,5
422,199900,2,2,68,1,5
423,795000,2,3,162,2,5
424,795000,1,3,160,2,5
426,325000,2,2,95,1,0
427,1590000,0,3,170,3,5
428,209000,0,2,109,1,4
429,1850000,1,3,200,3,5
430,1650000,0,3,185,3,5
433,245000,0,2,88,1,4
434,218000,0,2,92,1,4
435,239000,0,1,74,1,4
436,235000,1,2,100,1,4
437,210000,1,1,58,1,4
438,795000,1,2,93,2,5
439,270000,0,2,85,1,5
441,695000,0,3,145,3,5
442,245000,2,2,68,1,3
443,340000,1,3,120,1,4
444,175000,2,1,58,1,4
445,350000,2,2,90,1,5
448,399000,0,2,127,1,5
449,337500,0,2,100,1,5
450,170000,4,2,71,1,0
453,148000,4,2,85,1,4
455,215000,2,2,70,1,4
456,175000,0,2,74,1,4
457,1325000,3,3,180,3,4
459,599000,0,2,125,1,2
460,174900,2,2,115,1,4
461,599000,1,2,120,1,2
462,1250000,3,4,300,1,2
463,218500,0,1,53,1,3
464,255500,1,3,106,1,3
465,255500,2,3,106,1,3
466,232000,1,1,70,1,3
467,255500,3,3,106,1,3
468,175000,1,2,70,1,4
469,599000,1,2,119,1,2
470,255500,4,3,106,1,3
471,599000,0,2,110,1,2
472,368000,3,2,125,1,4
473,255500,3,3,106,1,3
474,189000,1,2,82,1,2
475,345000,2,2,100,1,4
477,1280000,4,2,205,2,4
478,299000,3,3,133,1,4
480,255500,2,3,106,1,3
481,169000,0,2,86,1,4
483,475000,2,3,125,2,5
484,110000,0,2,70,1,4
485,235000,3,2,91,1,4
486,565000,6,3,159,1,0
487,1650000,1,3,271,3,5
489,260000,0,3,320,2,4
490,310000,4,2,92,1,0
491,299000,1,2,120,1,5
492,549000,3,3,145,1,4
496,700000,0,2,223,2,4
497,145000,5,1,51,1,4
498,142500,1,1,54,1,4
499,159000,5,2,64,1,4
500,155000,0,1,51,1,4
501,99000,4,0,29,1,4
502,225000,3,1,69,1,4
505,169000,3,1,32,1,3
506,147500,2,1,51,1,4
510,380000,0,2,96,1,4
511,255500,1,3,106,1,3
512,279000,7,2,106,1,4
513,187500,0,2,96,1,4
515,195000,3,3,140,1,4
516,209000,11,2,98,1,2
519,359000,2,2,105,1,4
520,270000,4,2,85,1,4
521,180000,0,3,120,1,5
523,197000,1,2,77,1,5
524,319000,0,2,73,1,5
525,195000,2,2,75,1,4
526,269000,1,3,100,1,5
527,183000,3,2,70,1,4
528,390000,2,3,95,2,4
529,375000,0,2,158,1,4
532,310000,3,3,100,1,2
533,159000,1,2,68,1,4
534,99000,1,1,50,1,2
535,299000,0,2,83,1,4
537,180000,1,2,127,1,4
538,175000,3,1,70,1,2
539,175000,2,1,77,1,2
540,160000,2,1,69,1,2
541,275000,2,2,110,2,2
542,179000,0,2,82,1,4
543,295000,1,2,121,1,4
547,205000,3,1,60,1,4
549,260000,3,1,60,1,5
550,199000,1,1,60,1,4
555,265000,0,2,103,1,4
556,325000,1,2,65,1,4
557,269000,1,2,92,1,5
558,498000,1,2,112,1,3
560,547000,3,3,224,2,5
562,205000,4,2,75,1,4
563,189000,0,1,54,1,0
566,240000,5,2,92,1,2
568,115000,4,1,32,1,4
569,499000,8,2,109,1,4
575,284000,3,1,67,1,3
576,499000,8,2,109,1,4
577,95000,1,1,33,1,4
578,795000,4,3,90,2,5
579,139000,12,1,90,1,0
582,245000,6,2,76,1,0
585,189000,1,2,97,1,4
586,350000,5,2,100,1,4
589,360000,1,2,74,1,4
591,249000,0,2,94,1,4
593,275000,0,2,79,1,4
594,225000,0,1,100,1,3
595,619000,0,4,282,3,4
596,597200,5,5,152,2,4
597,399000,0,2,113,1,4
598,559000,0,3,150,1,4
602,169000,3,1,46,1,4
603,256000,4,2,74,1,2
605,449000,1,3,156,1,5
616,665000,0,2,109,1,2
617,250000,2,2,66,1,4
618,137000,1,1,50,1,5
619,267000,0,2,120,1,4
620,232000,2,2,99,1,5
622,315000,4,4,175,2,4
623,795000,3,3,87,2,5
624,289000,4,2,75,1,4
625,335000,2,2,86,1,5
626,160000,4,0,50,1,4
627,349000,2,2,79,1,4
629,415000,0,1,53,1,3
632,269000,0,2,109,1,3
634,995000,0,3,171,2,5
635,885000,0,3,171,2,5
642,450000,0,3,141,1,3
643,159000,3,2,69,1,5
645,189000,3,1,78,1,5
648,549000,4,2,132,2,3
651,125000,1,3,94,1,0
653,225000,2,3,93,1,4
655,375000,0,2,70,1,2
657,385000,2,2,98,1,5
658,318000,1,2,110,1,4
660,525000,2,3,87,2,4
661,199000,4,1,57,1,4
662,135000,4,1,50,1,0
663,229000,0,2,91,1,5
664,225000,0,1,42,1,5
665,475000,2,1,59,1,4
666,265000,1,2,80,1,5
667,229000,2,2,80,1,5
668,648000,10,1,61,1,4
669,229000,3,2,80,1,5
670,229000,3,2,80,1,5
671,335000,0,2,80,1,5
672,379000,3,2,90,2,4
673,425000,3,2,122,1,4
674,350000,4,2,110,1,5
676,320000,2,3,173,1,0
677,174000,0,2,64,1,4
678,129900,7,2,72,1,4
679,399000,0,3,201,2,3
680,345000,0,3,131,1,5
681,180000,5,2,73,1,4
682,155000,2,1,40,1,4
683,289000,0,3,140,1,5
684,149000,0,1,52,1,3
685,199000,1,1,62,1,4
686,335000,2,4,155,1,0
688,255000,3,2,97,1,2
689,255000,3,2,97,1,2
690,155000,3,1,49,1,2
691,625000,1,2,71,1,3
692,149000,3,2,73,1,3
693,179000,4,1,60,1,5
694,312000,1,3,123,1,4
696,285000,0,2,87,1,4
698,249500,1,1,84,1,5
701,845000,4,3,82,2,5
703,240000,1,2,138,1,5
704,295000,1,2,77,1,4
705,429000,3,2,95,1,3
706,292000,3,2,95,1,3
707,199000,1,1,60,1,3
708,199000,1,2,88,1,4
714,150000,0,2,70,1,4
715,234000,1,2,100,1,5
717,258000,0,1,61,1,5
718,1295000,1,3,201,2,5
719,200000,3,1,52,1,5
721,160000,0,2,95,1,2
722,269000,2,1,69,1,5
723,200000,2,1,52,1,5
724,254000,2,2,153,1,4
727,1995000,3,3,204,3,5
729,670000,1,2,112,2,5
730,660000,1,2,110,2,5
731,670000,0,2,114,2,5
732,720000,1,2,114,2,5
733,960000,1,3,145,2,5
734,890000,0,3,145,2,5
735,192500,3,3,100,1,4
736,690000,2,2,112,2,5
737,740000,2,2,114,2,5
738,325000,0,5,167,2,4
739,625000,0,2,110,2,5
741,240000,2,2,97,1,4
742,240000,2,2,97,1,4
743,289000,1,2,97,1,4
744,359000,2,2,70,1,4
745,369000,1,2,81,1,4
746,1275000,13,2,139,2,5
747,450000,3,2,120,2,0
748,210000,3,2,120,1,5
749,299000,1,2,70,2,3
750,415000,0,2,86,1,5
751,265000,5,2,118,1,4
752,285000,4,2,118,1,4
753,365000,7,2,105,1,4
754,245000,2,1,43,1,3
755,520000,2,3,177,2,3
756,445000,1,2,92,2,5
757,375000,2,1,84,1,5
758,415000,0,2,86,1,5
759,310000,3,1,58,1,5
760,445000,1,2,92,2,5
761,375000,2,1,84,1,5
762,310000,3,1,58,1,5
763,815000,2,3,174,2,5
764,220000,2,2,84,1,4
765,139000,1,2,82,1,2
766,149000,2,2,94,1,4
767,115000,5,0,18,1,5
770,229000,3,2,95,1,4
771,212500,0,2,58,1,4
775,390000,0,2,95,1,5
776,199000,2,2,96,1,4
777,325000,2,0,130,2,2
778,199000,1,2,114,1,2
780,495000,0,3,208,2,4
784,305000,2,2,86,1,5
786,295000,2,2,81,1,4
788,263000,3,2,83,1,3
791,229000,0,2,70,1,3
793,390000,2,2,106,1,5
798,345000,1,2,92,1,5
800,265000,3,2,73,1,4
802,299000,10,1,48,1,3
803,425000,1,2,160,1,4
804,415000,0,1,155,1,4
813,342000,2,2,104,1,5
817,595000,0,2,87,2,4
818,360000,1,2,82,1,4
819,439224,1,2,104,1,5
820,399000,4,2,115,1,5
821,199000,3,2,60,1,4
822,240000,0,1,88,1,4
824,269000,1,3,92,1,5
829,290000,1,3,120,2,4
835,405000,0,2,80,1,4
839,224000,0,2,81,1,4
840,228000,1,3,90,1,4
841,155000,0,2,100,1,5
842,995000,5,2,139,2,5
845,1995000,1,2,81,2,3
848,235000,2,2,88,1,4
849,250000,0,2,90,1,5
850,270000,2,1,90,1,4
853,510000,5,2,134,2,5
854,245000,1,2,98,1,0
856,274000,3,2,116,1,4
858,225000,6,2,92,1,5
859,295000,0,2,107,2,4
860,209000,6,2,102,1,4
862,495000,3,2,120,2,4
865,240000,2,3,97,1,4
867,249000,3,2,75,2,4
869,315000,0,3,150,1,5
871,315000,1,2,86,1,5
875,275000,3,2,121,1,4
877,299000,5,2,101,1,4
879,255000,6,2,84,1,5
881,315000,2,2,103,1,4
883,195000,1,1,46,1,4
884,398500,5,2,96,1,3
885,295000,8,1,70,1,3
887,200000,0,1,51,1,2
890,365000,0,2,90,1,4
891,670000,1,3,167,2,3
892,298000,0,2,130,1,3
893,239000,1,2,120,1,4
894,159000,8,1,50,1,2
895,599000,1,2,130,1,4
896,225000,2,1,45,1,3
897,370700,0,4,338,2,5
898,259000,2,2,84,1,4
899,450000,2,2,104,1,4
900,365000,1,2,77,1,3
901,99000,0,1,33,1,4
902,219000,1,2,82,1,5
903,210000,0,1,60,1,5
905,302375,0,2,101,1,5
906,175000,0,2,75,1,4
908,220000,0,1,60,1,5
910,1095000,2,3,225,2,4
911,1150000,3,3,190,2,5
912,321935,0,1,83,1,4
913,165000,2,2,79,1,4
914,281606,0,1,68,1,4
916,359500,2,2,105,1,4
919,265000,0,2,97,1,5
922,399000,1,2,116,1,4
923,420000,2,2,110,1,4
925,119000,0,1,94,1,4
927,240000,1,3,95,1,2
929,199000,0,2,87,1,5
931,269000,0,3,140,1,4
934,105000,0,1,26,1,3
