,price,floor,bedroomCount,netHabitableSurface,bathroomCount,condition
1493,338500,0,2,94,1,5
1494,140000,1,2,70,1,2
1495,330000,5,2,90,1,5
1496,379200,0,3,94,1,5
1497,275000,7,1,69,1,3
1498,130000,1,0,30,1,4
1499,175000,0,1,60,1,2
1500,637500,0,4,230,2,4
1501,660000,3,2,55,1,5
1502,265000,0,1,64,1,4
1503,200000,2,1,51,1,4
1504,965000,7,3,223,2,4
1506,169000,1,1,51,1,5
1507,285000,0,1,60,1,4
1508,1340000,2,3,179,2,5
1510,230000,4,2,102,1,4
1511,210000,0,1,19,1,5
1512,304900,1,3,120,1,5
1513,415000,1,3,110,1,2
1514,235000,0,1,65,1,4
1515,495000,3,3,146,2,2
1516,595000,7,3,161,2,5
1517,145000,0,2,85,1,0
1518,110000,0,1,75,1,4
1519,350000,2,1,67,1,4
1520,119000,0,2,120,1,5
1521,445000,1,2,125,2,5
1522,320000,2,2,90,1,2
1523,275000,2,3,130,1,5
1524,250000,0,2,98,1,0
1525,320000,2,1,96,1,5
1526,139900,2,2,77,1,4
1528,449000,8,3,137,2,5
1529,185000,1,0,32,1,4
1530,599000,2,3,93,2,5
1531,564000,0,3,137,1,5
1532,650000,4,2,117,2,5
1534,659000,3,3,140,3,4
1535,1295000,0,3,250,2,5
1536,295000,1,1,50,1,4
1537,398000,0,2,138,1,5
1538,323000,2,2,140,1,5
1541,299000,2,2,100,1,5
1542,350000,7,2,106,1,5
1543,670000,0,1,83,1,5
1544,299000,3,2,97,1,5
1545,105000,9,1,60,1,4
1546,245000,5,1,72,1,4
1549,399000,2,3,146,1,4
1550,449000,0,3,170,1,3
1552,95000,1,1,59,1,2
1557,139000,2,1,63,1,4
1559,350000,1,2,110,2,5
1560,240000,0,1,63,1,4
1561,314000,5,1,78,1,5
1565,268000,4,2,94,1,4
1566,445000,3,3,90,1,5
1567,395000,2,2,178,2,4
1569,355000,4,2,90,1,5
1570,475000,2,2,110,1,4
1572,240000,1,2,81,1,4
1574,240000,1,2,81,1,4
1576,149000,1,2,85,1,0
1577,435000,4,2,135,2,5
1578,350000,4,3,135,2,5
1579,220000,4,2,65,1,5
1580,210000,2,1,66,1,4
1581,210000,2,1,66,1,4
1582,120000,4,0,55,1,0
1583,210000,2,1,65,1,4
1584,296000,4,2,97,1,4
1585,345000,3,2,100,1,3
1592,175000,0,1,70,1,4
1593,149000,2,1,80,1,4
1594,269000,2,2,82,1,5
1595,195000,1,2,72,1,4
1596,175000,0,2,71,1,4
1598,349500,0,2,89,1,4
1601,399000,2,3,142,1,4
1602,189500,6,2,86,1,0
1604,359000,6,2,86,1,4
1606,175000,8,1,35,1,4
1608,350000,0,2,94,1,4
1611,99000,3,1,30,1,4
1612,848000,0,2,210,1,4
1614,313000,1,2,125,1,5
1615,112500,0,1,44,1,4
1616,370000,1,3,97,1,4
1617,329000,2,2,90,1,4
1621,285000,1,2,80,1,4
1628,229000,3,2,74,1,4
1631,245000,0,1,79,1,4
1632,245000,0,2,70,1,5
1634,324000,1,2,105,1,4
1635,300000,0,3,120,1,4
1637,175000,0,1,92,1,4
1638,270000,8,3,105,1,4
1639,179000,2,2,104,1,4
1642,199000,0,2,114,1,4
1643,304000,2,2,145,1,5
1648,385000,5,2,90,1,5
1654,278000,1,2,80,1,3
1656,495000,1,3,125,2,5
1657,135000,3,2,65,1,4
1659,299000,1,3,138,2,2
1660,299000,3,4,123,1,4
1661,259000,1,2,73,1,3
1668,85000,9,1,30,1,4
1672,429000,5,3,123,2,5
1679,489000,1,3,127,1,4
1680,239000,0,2,70,1,4
1685,219000,0,2,103,1,5
1686,370000,0,3,116,1,4
1687,165000,1,1,65,1,4
1688,135000,1,2,76,1,5
1690,270000,2,2,80,1,3
1691,175000,2,1,71,1,4
1692,225000,3,2,83,1,4
1694,179000,1,0,50,1,4
1695,349000,2,2,110,1,4
1696,299000,15,3,125,1,4
1697,114000,5,1,30,1,3
1698,215000,5,2,72,1,4
1699,235000,2,2,91,1,4
1700,139000,1,1,57,1,3
1701,444000,1,2,106,1,5
1703,225000,0,1,86,1,4
1704,189000,1,2,105,1,4
1707,227000,2,2,95,1,3
1708,745000,4,2,78,1,5
1709,330000,0,2,83,1,5
1710,225000,2,2,95,1,5
1711,105000,2,1,68,1,4
1712,829000,5,4,200,3,4
1714,189000,1,1,37,1,3
1718,2395000,2,4,140,3,5
1720,240000,1,2,94,1,0
1721,200000,4,0,50,1,0
1722,259000,3,2,81,1,3
1724,348000,0,2,182,1,5
1728,149000,5,1,87,1,5
1730,190000,0,4,110,1,0
1731,267000,5,3,106,1,5
1732,750000,6,3,82,2,3
1741,399000,2,3,216,2,5
1742,199000,0,1,75,1,0
1745,349000,1,2,112,1,4
1746,695000,2,3,118,2,4
1749,465000,2,2,95,1,0
1750,275000,3,3,104,1,5
1751,175000,9,2,78,1,4
1752,249000,3,3,131,1,5
1753,290000,3,1,60,1,4
1754,369000,0,2,94,1,5
1755,159000,2,1,25,1,4
1756,285000,1,3,142,1,4
1757,179900,4,2,85,1,4
1758,995000,0,2,155,2,5
1759,238000,0,2,82,1,4
1760,79000,0,2,78,1,0
1762,65000,0,1,68,1,0
1763,79000,1,2,81,1,4
1764,55000,0,1,46,1,4
1765,79000,2,2,81,1,4
1767,85000,3,3,94,1,0
1768,219000,1,2,99,1,4
1769,348000,1,2,90,1,5
1770,449000,3,2,95,1,5
1771,369000,0,2,105,1,4
1772,239000,1,3,79,1,5
1773,410000,7,2,113,1,5
1774,475000,1,2,125,2,4
1775,495000,0,2,150,2,5
1776,218000,3,2,73,1,4
1777,139000,1,1,50,1,4
1779,265000,1,2,105,1,4
1781,149000,4,2,65,1,5
1783,470000,2,2,169,1,5
1786,595000,8,4,175,2,3
1787,389000,3,3,135,1,5
1788,275000,2,2,80,1,4
1791,325000,3,2,98,1,5
1792,355000,1,3,125,1,5
1793,235000,6,2,68,1,4
1794,795000,4,2,135,1,4
1796,175000,0,2,90,1,4
1797,251500,2,1,60,1,4
1798,239000,5,2,77,1,5
1799,575000,0,3,135,1,4
1801,255000,1,1,58,1,5
1802,235000,1,2,98,1,5
1803,175000,1,0,44,1,4
1804,1695000,0,3,261,3,4
1805,375000,6,1,70,1,5
1806,610000,7,3,136,2,5
1807,390000,2,3,140,2,5
1808,199000,0,1,62,1,4
1809,229000,2,2,75,1,4
1810,215000,14,3,104,1,2
1811,499000,7,2,85,1,5
1812,235000,2,1,70,1,4
1813,210000,0,3,120,1,4
1815,599000,2,3,93,2,3
1816,215000,1,3,120,1,5
1817,280000,2,3,114,1,5
1818,265000,0,5,220,1,4
1819,220000,3,1,82,1,4
1821,495000,3,2,115,1,5
1822,229000,0,2,100,1,4
1823,175000,1,1,77,1,4
1824,349000,0,3,84,1,5
1825,216000,0,2,109,1,4
1834,299000,4,2,101,1,4
1835,125000,1,3,80,1,4
1836,795000,4,2,80,2,4
1837,105000,0,0,45,1,4
1839,265000,2,3,93,1,3
1840,219900,1,2,78,1,4
1841,135000,0,1,56,1,4
1842,167500,2,1,45,1,5
1843,360000,2,3,156,2,4
1844,179000,0,1,59,1,4
1845,85000,2,1,50,1,4
1846,197500,0,1,64,1,4
1847,236450,2,2,73,1,4
1848,359000,3,3,165,1,4
1849,425000,2,3,150,2,0
1851,80000,1,1,34,1,1
1852,393866,2,2,132,1,5
1853,279900,2,2,109,2,3
1854,199000,3,1,61,1,3
1856,241000,1,2,77,1,5
1857,265000,2,2,115,1,5
1858,275000,0,2,90,1,4
1859,242000,1,2,82,1,4
1860,289000,1,2,70,1,4
1861,98000,1,0,30,1,4
1862,219000,1,2,80,1,4
1865,199000,2,1,60,1,5
1866,295000,5,2,77,1,4
1868,385000,1,2,117,1,5
1871,365000,3,2,80,1,3
1872,358000,0,2,135,1,5
1873,205000,2,2,78,1,0
1876,220000,4,1,65,1,5
1879,275000,3,2,102,1,5
1880,189000,1,2,111,1,4
1882,189000,0,2,59,1,4
1886,425000,4,3,110,1,5
1887,375000,3,2,98,2,5
1888,299000,10,3,96,1,3
1889,169000,1,2,77,1,3
1890,199000,0,3,99,1,4
1891,395000,0,3,251,1,5
1892,199500,2,1,55,1,4
1893,365000,3,2,95,1,5
1894,349000,6,1,34,1,4
1895,525000,0,3,300,3,4
1896,345000,3,2,100,1,3
1897,398000,0,1,65,1,4
1899,229000,2,2,70,1,4
1901,249000,0,4,260,1,5
1902,179000,2,1,67,1,4
1905,255000,0,2,85,1,5
1906,349000,2,1,89,1,5
1907,199000,2,1,66,1,5
1908,204000,3,2,92,1,4
1910,349000,0,2,227,1,0
1911,285000,1,2,101,1,0
1914,234000,2,1,90,1,5
1915,469000,0,1,190,1,4
1916,275000,2,3,152,1,2
1917,295000,3,2,165,1,4
1918,229000,1,2,96,1,4
1919,339000,1,3,131,1,4
1920,295000,3,2,165,1,4
1924,280000,2,2,76,2,2
1926,370000,2,2,104,1,5
1927,369000,3,3,135,1,5
1929,695000,4,2,123,1,4
1931,173000,2,2,75,1,4
1933,198000,2,2,82,1,5
1935,445000,3,3,110,2,5
1936,995000,3,3,323,2,4
1937,729000,0,4,257,3,0
1938,170000,1,1,70,1,4
1939,899000,2,3,145,2,5
1940,265000,1,2,104,1,4
1942,249000,0,1,57,1,5
1943,225000,2,1,70,1,5
1944,159000,11,2,77,1,4
1945,259000,2,3,175,1,4
1946,365000,7,2,82,1,3
1948,180000,7,2,92,1,2
1950,245000,2,3,106,1,0
1951,315000,2,4,155,1,4
1953,169000,1,1,73,1,4
1954,435000,4,4,129,2,4
1955,255000,1,2,88,1,4
1956,219000,5,3,85,1,4
1957,224000,4,2,85,1,4
1958,229000,0,1,32,1,3
1959,139000,2,1,52,1,2
1961,230000,2,2,104,1,4
1962,220000,1,2,76,1,4
1964,159950,4,1,69,1,2
1965,149000,1,1,52,1,3
1967,219000,2,2,100,1,4
1968,135000,4,1,41,1,0
1969,299000,1,4,250,2,4
1971,249000,2,2,72,1,5
1972,185000,1,1,29,1,5
1974,60000,3,0,52,1,0
1975,245000,5,2,73,1,4
1978,198000,3,1,55,1,0
1980,2295000,5,3,110,2,5
1981,275000,9,3,98,1,4
1984,219000,1,2,87,1,5
1985,165000,2,3,127,1,2
1986,215000,1,1,61,1,4
1987,449000,1,2,124,1,4
1988,325000,1,2,93,1,4
1989,209000,0,4,111,1,0
1990,205000,2,2,93,1,4
1991,199500,0,2,73,1,4
1992,325000,2,4,140,1,4
1993,235000,2,2,82,1,3
1995,289000,0,1,71,1,5
1996,189000,9,2,80,1,4
1998,215000,2,1,61,1,4
2001,160000,0,2,86,1,4
2003,470000,2,3,200,2,0
2005,209500,3,3,125,1,0
2007,405000,0,2,97,1,4
2009,495000,2,5,168,1,4
2010,189000,2,1,55,1,4
2011,315000,4,2,212,1,5
2012,159000,2,2,73,1,4
2013,128000,2,1,59,1,5
2015,339000,1,3,302,2,4
2016,139000,0,1,60,1,5
2018,145000,5,1,56,1,4
2021,375000,0,3,153,1,4
2024,210000,2,4,128,1,4
2025,189000,1,2,125,1,4
2026,210000,1,3,127,1,4
2028,175000,1,2,78,1,4
2029,199000,1,2,108,1,4
2030,199000,2,2,108,1,4
2031,199000,2,2,100,1,4
2032,199000,1,2,100,1,2
2033,249000,1,1,81,1,5
2034,199000,0,2,89,1,4
2035,425000,0,6,239,2,4
2036,247000,4,2,87,1,5
2038,234000,0,1,74,1,5
2040,212000,4,2,76,1,0
2041,209000,1,2,80,1,4
2042,620000,0,2,91,2,4
2045,285000,1,2,150,1,3
2049,289000,3,1,64,1,4
2050,195000,0,2,160,1,4
2051,129000,1,1,46,1,4
2052,130000,1,2,75,1,4
2053,129000,1,1,43,1,4
2054,350000,2,3,150,1,4
2055,159000,2,1,81,1,4
2057,209000,1,2,83,1,4
2061,350000,0,2,80,1,4
2063,299000,0,2,108,1,4
2064,298000,0,2,217,1,2
2066,581000,0,6,293,3,4
2067,1875000,2,4,141,2,3
2069,385000,0,2,150,1,5
2071,285000,2,3,130,1,4
2072,129000,0,1,65,1,4
2074,559000,4,2,156,2,4
2076,630000,2,3,145,2,4
2079,259000,2,2,126,2,4
2081,179000,1,1,59,1,4
2082,274000,0,2,92,1,4
2083,240000,3,2,144,1,4
2084,195000,2,1,55,1,4
2085,259000,1,2,100,1,4
2086,275000,0,2,73,1,5
2087,195000,0,1,86,1,5
2088,249000,0,4,148,1,5
2089,259000,1,3,130,1,5
2090,348000,1,1,106,1,5
2092,265000,1,2,82,1,5
2094,199000,10,1,32,1,4
2099,230000,0,1,99,1,5
2103,435000,1,3,127,1,5
2105,240000,2,3,123,1,4
2107,299900,4,2,94,1,5
2109,335000,2,1,79,1,3
2110,435000,1,3,119,1,5
2111,2295000,5,3,108,2,5
2112,625000,1,3,96,2,5
2113,275000,2,1,65,1,5
2114,1195000,5,2,84,1,5
2115,2295000,5,3,108,2,3
2116,799000,3,2,85,2,5
2117,414000,2,2,139,2,5
2119,325000,2,3,95,1,4
2120,139500,2,2,78,1,5
2122,290000,1,2,105,1,5
2125,139500,2,1,53,1,5
2131,288000,2,3,90,2,5
2133,75000,0,1,35,1,0
2135,750000,9,3,166,2,0
2136,210000,4,1,37,1,5
2142,365000,2,3,120,1,0
2144,495000,4,2,108,1,5
2145,165000,2,3,116,1,5
2146,179000,1,2,125,1,5
2147,145000,3,2,103,1,5
2148,99500,2,1,70,1,5
2151,99000,1,0,39,1,5
2153,355000,3,2,100,1,4
2154,780000,13,2,90,2,4
2157,199000,2,1,66,1,4
2161,360000,0,3,120,2,4
2162,305000,5,2,84,1,5
2163,260000,4,1,88,1,5
2164,250000,12,3,81,1,2
2165,160000,1,1,63,1,4
2166,298000,0,2,111,1,4
2167,395000,3,1,98,1,5
2168,540000,2,2,84,1,5
2169,440000,1,1,68,1,5
2171,2295000,5,3,110,2,5
2172,350000,0,2,100,1,5
2173,295000,5,1,62,1,4
2174,350000,0,2,100,1,5
2175,620000,2,2,91,2,5
2176,255000,3,3,90,1,0
2177,165000,3,2,85,1,4
2178,475000,5,2,101,1,4
2179,495000,0,2,150,3,4
2180,199000,3,2,90,1,5
2181,242000,1,1,70,1,5
2182,199000,1,1,69,1,2
2183,229000,3,2,81,1,4
2184,199000,2,1,69,1,2
2185,295300,0,2,89,1,5
2187,385000,4,3,140,1,5
2188,775000,0,2,126,2,5
2189,335000,0,2,99,1,5
2190,325000,2,2,95,1,0
2191,299000,1,2,81,1,4
2192,239000,4,2,95,1,4
2193,169000,4,1,63,1,5
2195,165000,1,1,73,1,4
2196,195000,2,2,81,1,4
2198,289000,2,3,143,1,4
2200,249000,2,3,94,1,4
2202,259000,0,2,87,1,4
2203,269000,0,1,69,1,4
2204,259000,1,2,90,1,5
2205,524000,0,3,133,1,4
2206,735000,3,3,196,2,3
2207,240000,8,3,98,1,0
2208,265000,0,1,105,1,4
2209,420000,0,1,151,1,4
2214,749000,1,3,300,1,5
2215,390000,3,2,105,2,4
2216,497500,3,2,95,1,5
2217,465000,2,2,80,1,5
2218,294000,1,2,130,1,5
2219,304000,1,2,148,1,5
2221,599000,2,3,93,2,3
2223,223000,0,2,65,1,4
2224,235000,1,1,65,1,5
2225,239000,2,2,104,1,4
2226,555000,0,3,212,2,4
2229,545000,1,3,230,2,5
2230,1790000,7,2,180,2,5
2232,299000,2,1,65,1,3
2234,359000,0,3,263,1,5
2236,499000,1,5,284,3,4
2237,200000,0,1,85,1,4
2241,195000,0,2,85,1,4
2242,129000,8,2,80,1,0
2243,745000,4,2,73,2,0
2245,298000,0,2,80,1,5
2246,619000,2,2,100,2,5
2247,189000,0,1,50,1,4
2248,249000,3,2,119,1,0
2249,399000,2,2,110,1,4
2250,95000,4,1,66,1,4
2251,355000,3,2,75,1,5
2252,235000,1,2,68,1,4
2254,130000,1,1,31,1,5
2255,645000,0,3,100,1,4
2258,2295000,5,3,110,2,4
2259,350000,6,3,90,1,4
2260,249000,4,4,170,1,4
2261,499000,1,2,110,1,5
2263,266000,1,3,107,1,5
2267,325000,2,1,57,1,4
2268,860000,2,2,84,1,5
2269,209000,1,2,83,1,5
2271,225000,1,2,80,1,5
2273,219000,0,2,85,1,5
2277,175000,2,2,85,1,2
2279,238000,2,2,72,1,5
2281,250000,0,2,99,1,5
2283,2295000,5,3,110,2,4
2285,359000,4,2,104,2,4
2286,599000,0,4,176,2,4
2287,189000,1,1,53,1,4
2288,140000,2,1,52,1,4
2292,99000,5,0,29,1,4
2293,149000,6,1,41,1,4
2294,159000,3,2,66,1,4
2296,335000,0,2,160,1,4
2299,199000,0,2,87,1,5
2300,159000,0,0,42,1,4
2301,185000,2,3,110,1,4
2302,249000,2,2,104,1,4
2308,234000,1,2,84,1,4
2309,220000,0,1,60,1,2
2310,245000,1,2,79,1,4
2311,130000,0,3,150,1,0
2312,325000,2,2,85,1,0
2314,288500,0,4,132,1,4
2316,198000,2,2,70,1,4
2323,1050000,3,2,63,1,4
2324,214000,1,2,80,1,5
2326,450000,1,2,108,1,4
2327,232000,3,2,80,1,5
2328,225000,5,2,100,1,4
2329,199000,2,2,79,1,4
2330,349000,2,2,102,2,4
2332,289000,0,2,90,1,4
2334,175000,3,2,108,1,2
2337,205000,0,1,72,1,4
2339,280000,0,2,110,1,4
2340,199000,1,3,125,1,4
2341,199000,0,2,82,1,5
2344,215000,0,2,86,1,5
2345,649000,2,2,190,2,3
2347,346000,6,3,129,1,5
2348,274000,6,2,99,1,5
2349,199000,2,2,88,1,4
2350,360000,2,3,131,1,4
2351,149000,0,1,45,1,4
2352,160000,2,2,81,1,4
2354,159000,7,1,82,1,4
2356,850000,0,4,240,2,4
2357,430000,3,3,126,1,5
2358,449000,2,2,86,1,5
2361,219000,1,2,82,1,4
2364,265000,2,3,98,1,0
2366,216000,0,2,93,1,5
2368,155000,0,2,75,1,2
2369,575000,6,3,88,1,3
2370,243000,0,2,107,1,5
2371,449000,3,2,135,1,4
2373,249000,3,2,95,1,4
2374,499000,0,2,115,1,4
2378,354000,1,2,104,2,5
2379,365000,1,2,108,1,5
2380,238000,1,2,107,1,5
2384,149000,3,0,44,1,0
2385,550000,3,2,150,1,5
2386,575000,2,3,196,1,4
2389,854000,4,4,200,2,3
2390,360000,1,2,130,2,4
2391,297500,2,2,115,1,5
2392,150000,0,2,80,1,2
2394,343500,2,3,171,2,5
2396,315000,2,2,97,1,4
2397,449000,1,2,148,1,5
2401,365000,5,2,99,2,5
2403,152000,0,2,70,1,0
2404,229000,0,1,70,1,3
2405,367000,0,2,98,2,5
2407,239000,7,2,88,1,3
2412,275000,1,2,61,1,4
2413,199000,1,2,76,1,5
2416,160000,0,1,52,1,4
2417,449000,4,2,154,1,4
2418,345000,5,3,120,1,4
2419,449000,4,2,154,1,4
2420,725000,2,2,115,1,5
2421,650000,3,2,115,1,5
2422,209500,1,2,78,1,4
2423,299000,3,2,81,1,4
2424,335000,0,2,90,1,4
2425,320000,3,2,85,1,5
2426,210000,1,2,70,1,3
2427,625000,4,2,125,1,5
2428,625000,8,5,228,2,4
2429,395000,2,3,145,2,4
2431,399000,3,3,170,2,5
2432,225000,5,2,90,1,4
2435,218000,8,2,92,1,2
2436,249000,1,2,100,1,3
2437,850000,2,2,215,2,5
2438,575000,2,2,112,1,5
2439,219000,6,2,86,1,4
2440,224000,1,2,90,1,4
2442,249000,4,2,92,1,4
2443,205000,2,2,93,1,4
2446,329000,1,2,104,1,4
2447,177777,1,1,66,1,5
2448,99000,5,1,40,1,0
2449,259000,2,2,89,1,5
2452,359000,1,5,174,1,4
2453,330000,0,3,102,1,4
2454,169000,4,2,83,1,0
2455,315000,1,3,107,1,4
2456,179000,4,2,94,1,5
2457,155000,1,2,54,1,4
2458,249000,3,3,104,1,4
2459,169000,5,2,100,1,4
2460,239000,0,2,80,1,4
2461,189000,3,2,82,1,4
2462,205000,0,2,98,1,5
2463,209000,1,2,81,1,0
2464,169750,1,1,82,1,5
2465,249000,2,2,98,1,4
2466,142000,1,2,70,1,4
2467,179000,2,2,94,1,0
2468,169000,1,2,93,1,0
2469,185000,2,2,83,1,4
2470,269000,1,3,100,1,5
2471,174000,0,2,77,1,0
2474,230000,2,2,90,1,4
2475,230000,1,2,89,1,4
2476,385000,0,3,120,1,5
2477,499000,0,2,115,1,4
2478,160000,2,1,70,1,4
2482,580000,0,3,180,2,3
2484,275000,0,2,160,1,5
2491,275000,0,2,160,1,5
2492,275000,0,2,160,1,5
2493,275000,0,2,160,1,5
2507,495000,4,2,78,1,5
2508,575000,0,3,144,1,4
2510,354650,1,2,112,1,5
2511,399750,1,3,124,1,5
2513,276450,0,1,93,1,5
2516,349000,0,2,139,1,5
2517,365000,4,2,96,1,5
2518,250000,4,1,62,1,5
2519,325000,1,2,95,1,5
2520,314000,2,2,107,1,5
2521,250000,5,1,63,1,5
2522,395000,5,2,99,1,5
2524,375000,6,2,85,1,5
2527,364284,0,2,121,1,5
2529,360183,1,2,114,1,5
2530,315750,0,2,86,1,5
2531,209000,4,2,92,1,3
2532,258001,0,2,89,1,5
2533,251443,0,2,89,1,5
2534,251443,0,2,89,1,5
2535,252076,0,2,89,1,5
2537,247628,0,2,89,1,5
2538,215000,6,2,99,1,0
2539,247628,0,2,89,1,5
2540,264263,0,2,97,1,5
2541,495000,6,3,160,2,5
2542,175000,0,3,100,1,4
2545,2125000,0,3,117,2,5
2549,1199000,1,3,200,2,5
2551,219000,2,2,90,1,4
2552,160000,1,1,61,1,5
2555,316000,0,2,90,1,5
2556,179900,0,1,55,1,5
2557,356000,0,2,90,1,5
2558,179900,0,1,55,1,5
2559,259000,3,2,186,2,5
2560,229900,1,2,80,1,3
2561,229900,1,2,80,1,3
2567,149000,2,1,69,1,0
2568,350000,11,1,40,1,5
2569,199000,1,1,41,1,3
2570,275000,0,3,130,1,5
2571,399000,5,1,60,1,5
2577,308000,0,1,103,1,5
2580,219900,2,2,66,1,5
2582,395000,0,2,75,1,5
2583,395000,4,2,76,1,2
2584,395000,7,2,95,1,5
2591,325000,6,2,79,1,5
2592,93500,2,1,38,1,5
2596,419000,0,2,112,1,5
2597,515000,2,2,92,2,5
2598,140000,2,1,52,1,4
2600,460000,3,2,157,2,5
2601,177500,3,1,60,1,5
2602,795000,4,2,135,1,3
2603,189000,0,2,77,1,5
2604,299000,0,2,114,1,3
2605,190000,12,2,83,1,2
2606,229000,4,1,76,1,4
2607,370000,3,2,80,1,5
2608,195000,2,2,95,1,5
2609,370000,2,2,92,1,5
2610,299000,3,2,94,1,5
2611,230000,2,3,85,1,3
2612,220000,2,2,70,1,0
2613,209000,0,3,115,1,4
2614,259000,1,1,85,1,5
2615,499000,0,1,127,2,5
2616,825000,4,3,230,2,4
2617,219000,6,2,88,1,4
2618,199000,0,2,104,1,4
2619,234000,3,1,70,1,5
2620,260000,1,2,95,1,4
2621,365000,0,1,70,1,5
2622,569000,1,2,141,2,3
2624,315000,1,4,132,1,4
2626,2295000,5,3,108,2,5
2630,349000,1,4,210,2,4
2631,1050000,3,2,65,1,4
2632,349000,3,4,126,1,5
2634,249000,1,2,117,1,5
2635,699000,10,3,174,2,5
2636,279000,0,2,77,1,4
2637,379000,10,2,116,1,4
2639,249000,1,2,65,1,4
2640,199000,0,2,110,1,4
2641,220000,5,2,87,1,4
2642,160000,0,2,85,1,4
2643,169000,2,1,25,1,4
2645,208000,0,2,120,1,4
2646,710000,4,4,235,2,4
2647,375000,3,3,140,1,4
2650,275000,0,2,85,1,4
2651,255000,2,3,105,1,0
2653,239000,5,2,92,1,4
2656,298000,6,2,102,1,5
2657,460000,0,3,160,1,5
2659,292000,1,1,103,1,4
2660,335000,1,2,100,1,5
2661,340000,6,3,110,1,4
2662,299000,3,3,155,2,0
2663,230000,2,2,80,1,4
2664,1590000,3,3,247,2,3
2665,1590000,3,3,247,2,3
2666,199000,6,2,88,1,2
2667,185000,0,1,31,1,4
2668,370000,0,3,136,1,5
2669,460000,2,2,105,1,5
2670,335000,0,2,99,1,5
2671,225000,0,2,87,1,5
2672,169000,2,1,50,1,3
2674,445000,4,2,108,1,4
2675,299000,3,3,119,1,0
2676,266163,1,3,110,1,5
2677,299000,5,2,104,1,0
2678,309000,1,1,80,1,5
2680,364000,4,2,92,1,5
2683,325000,1,2,92,1,5
2684,309000,0,1,75,1,5
2686,434000,0,2,104,2,5
2689,386000,0,3,110,2,5
2690,407000,0,2,107,2,5
2691,407000,0,2,104,2,5
2692,326000,4,2,81,1,5
2693,249000,5,2,80,1,4
2694,129000,3,2,68,1,0
2695,375000,1,2,90,1,5
2696,399000,3,2,110,2,5
2697,399000,3,2,110,2,5
2698,375000,1,2,90,1,5
2699,245000,4,2,68,1,5
2700,179000,0,1,77,1,0
2701,275000,2,2,93,1,5
2702,190000,3,2,98,1,4
2703,380000,8,3,100,1,4
2704,275000,2,2,107,1,5
2705,308000,0,2,103,1,5
2706,219000,1,2,104,1,5
2708,259000,4,2,100,1,4
2709,350000,3,2,100,1,4
2710,215000,2,3,130,1,0
2711,459000,0,2,85,1,5
2714,490000,3,2,130,2,5
2716,349000,1,2,110,1,3
2717,229500,0,1,75,1,5
2718,295000,1,2,95,1,4
2720,115000,2,2,75,1,4
2722,455000,0,2,85,1,4
2723,2295000,0,3,110,2,5
2724,178500,0,1,63,1,4
2725,245000,3,2,82,1,4
2726,395000,2,3,100,1,5
2729,440000,4,2,106,1,4
2730,690000,0,3,213,2,0
2731,295000,3,2,94,1,4
2732,299000,3,2,86,1,5
2733,340000,2,2,88,1,3
2735,635000,7,2,140,2,5
2736,229000,0,2,84,1,4
2737,375000,4,2,96,1,5
2738,365000,0,4,217,1,4
2740,398000,0,2,112,1,0
2742,369000,0,2,93,1,4
2744,365000,0,4,217,1,4
2745,335000,1,2,130,1,4
2747,205000,2,2,81,1,3
2748,399000,0,2,251,1,4
2749,429000,1,2,156,1,5
2750,445000,0,5,210,2,4
2751,169000,4,1,45,1,0
2752,139000,2,2,56,1,2
2753,275000,0,2,88,1,4
2756,155000,1,3,103,1,2
2758,159000,4,1,25,1,4
2759,995000,4,2,94,2,5
2760,439000,0,2,80,1,4
2761,250000,3,3,113,1,3
2763,895000,4,3,103,3,4
2764,1195000,3,4,214,3,4
2765,164000,6,0,44,1,4
2766,315000,0,2,76,1,4
2768,298000,1,2,96,1,4
2769,475000,3,3,100,1,4
2770,385000,2,3,180,1,5
2772,139000,3,1,65,1,4
2773,260000,0,2,52,1,4
2774,249000,0,1,75,1,4
2778,249000,0,1,75,1,4
2779,170000,8,2,66,1,4
2780,299000,6,2,90,2,4
2781,315000,1,2,100,1,3
2782,449000,5,1,68,1,4
2783,289000,0,2,110,1,4
2784,150000,1,2,95,1,4
2785,245000,2,1,60,1,3
2786,298000,1,3,105,1,5
2790,610000,3,2,88,1,5
2791,415000,6,0,100,1,5
2792,180000,1,3,110,1,4
2794,150000,2,1,47,1,4
2795,439000,0,2,80,1,5
2797,135000,5,1,85,1,2
2798,235000,1,2,90,1,5
2799,349000,1,2,63,1,5
2801,269000,3,2,72,1,4
2805,465000,0,1,103,1,4
2807,250000,2,3,122,1,3
2809,265000,3,2,96,2,0
2811,267000,0,1,67,1,5
2812,240000,0,2,108,1,5
2813,224900,0,1,53,1,4
2814,199000,1,2,86,1,4
2815,332000,1,2,80,1,5
2816,985000,1,2,200,2,5
2817,349000,0,3,196,1,5
2818,209000,2,2,70,1,4
2819,425000,3,1,85,1,5
2820,150000,3,1,50,1,2
2822,239000,1,2,115,1,5
2824,239000,4,2,94,1,5
2825,810000,6,2,247,1,5
2826,219000,0,1,54,1,4
2827,189000,2,1,45,1,4
2829,215000,2,2,86,1,4
2830,315000,1,2,91,1,5
2831,265000,0,2,79,1,5
2832,239000,1,2,88,1,4
2833,249000,0,1,61,1,4
2835,165000,2,2,65,1,5
2838,265000,0,2,123,1,4
